Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
8;1001128;2НДФЛ;Обучение;1;0.06;мужской;0;0;высшее;менеджер среднего звена;>250;0;19;38;Другое;ОАО;холост / не замужем;1;1;1;1;1;0;0;1;0;0;1;1;0;2;1;1;0;3;3;0;0;0;0;0;0;0
8;1001148;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.29;женский;0;0;высшее;менеджер среднего звена;>250;0;30;53;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001168;2НДФЛ;Покупка автомобиля;1;0.5;женский;2;0;высшее;специалист;>250;0;92;32;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001188;Поступление зарплаты на счет;Ремонт;1;0.39;женский;1;0;высшее;специалист;>250;0;6;43;Торговля;ООО;холост / не замужем;2;0;0;0;0;0.0180722892;0;0;0;0;0.3333333333;4;8;163;12;3;0;12;70;1;0;0;0;0;0;0
8;1001208;Форма банка (без печати работодателя);Покупка мебели;0;0.29;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;0;61;47;Торговля;ООО;женат / замужем;0;0;0;0;0;0.009009009;1;0;0;0;0.2;2;3;110;5;1;1;21;96;1;0;0;0;0;0;0
8;1001228;2НДФЛ;Покупка недвижимости/ строительство;0;0.39;женский;0;0;высшее;специалист;< 50;0;33;36;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001248;2НДФЛ;Ремонт;0;0.28;женский;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001268;Поступление зарплаты на счет;Ремонт;0;0.33;мужской;1;0;высшее;специалист;>250;1;44;43;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001288;Поступление зарплаты на счет;Ремонт;1;0.59;женский;0;0;высшее;специалист;>250;0;52;40;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001308;Свободная форма с печатью работодателя;Ремонт;0;0.52;мужской;0;0;высшее;специалист;>250;1;19;29;Другое;ООО;холост / не замужем;1;1;1;0;0;0;0;3;0;0;1;4;0;29;4;1;0;4;15;0;0;0;0;0;0;0
8;1001328;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.47;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001348;Форма банка (без печати работодателя);Покупка автомобиля;1;0.43;женский;1;0;высшее;менеджер среднего звена;< 50;0;90;42;Торговля;ООО;женат / замужем;1;1;0;0;0;0;0;0;0;0;0.6666666667;2;1;147;3;1;1;29;90;0;0;0;0;0;0;0
8;1001368;2НДФЛ;Ремонт;0;0.42;мужской;2;0;среднее-специальное;специалист;>250;0;123;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001388;Поступление зарплаты на счет;Покупка автомобиля;1;0.56;женский;1;0;высшее;специалист;>250;0;47;23;Торговля;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0.3333333333;1;2;25;3;0;0;6;27;0;0;0;0;0;0;0
8;1001408;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.34;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001428;2НДФЛ;Покупка земли;1;0.49;женский;0;0;высшее;менеджер среднего звена;< 50;1;37;49;Другое;ООО;женат / замужем;2;2;2;2;2;0.0192307692;1;0;0;0;1;3;0;102;3;2;0;18;48;1;0;0;0;0;0;0
8;1001448;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.41;мужской;0;0;высшее;менеджер среднего звена;< 50;0;13;43;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0106382979;0;0;0;0;0.5;1;1;93;2;0;1;35;75;1;0;0;0;0;0;0
8;1001468;Поступление зарплаты на счет;Ремонт;1;0.46;женский;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
